Region/Country/Area,,Year,Series,Value,Footnotes,Source
145,Western Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2020,Researchers per million inhabitants (FTE),"1,131.80",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2005,Researchers per million inhabitants (FTE),"2,733.30",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2010,Researchers per million inhabitants (FTE),"2,986.30",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2015,Researchers per million inhabitants (FTE),"3,313.70",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
150,Europe,2020,Researchers per million inhabitants (FTE),"3,704.20",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
9,Oceania,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
9,Oceania,2005,Researchers per million inhabitants (FTE),"2,927.90",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
9,Oceania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
